seq,node_type,content,shape,width_cm,height_cm,bg_color,text_color,branch_to,branch_label,branch_kind
1,main,客户到达网点取号,rect,5.0,0.6,C6EFCE,006100,,,
2,main,Pad身份识别与分流,rect,5.0,0.6,C6EFCE,006100,,,
3,main,柜员输入交易代码036101进入场景,rect,5.0,0.6,C6EFCE,006100,,,
4,main,选择证件类型并读取身份证件,diamond,4.5,1.0,FFF2CC,7F6000,41,信息缺失,error
5,main,人脸识别身份核实,diamond,4.5,1.0,FFF2CC,7F6000,42,不通过,error
6,main,选择介质读取方式,rect,5.0,0.6,C6EFCE,006100,,,
7,main,读取介质并校验状态,diamond,4.5,1.0,FFF2CC,7F6000,43,异常,error
8,main,介质验证输入密码,rect,5.0,0.6,C6EFCE,006100,,,
9,main,服务类型选择与签约,rect,5.0,0.6,C6EFCE,006100,,,
10,main,费用收取与短信通知,rect,5.0,0.6,C6EFCE,006100,,,
11,main,交易确认与电子签名,diamond,4.5,1.0,FFF2CC,7F6000,44,签字不符,error
12,main,凭证打印与回单服务,rect,5.0,0.6,C6EFCE,006100,,,
13,main,客户评价,rect,5.0,0.6,C6EFCE,006100,,,
14,main,系统质检与自动归档,rect,5.0,0.6,C6EFCE,006100,,,
41,branch,客户信息维护,rect,5.0,0.6,FCE4EC,C00000,,,
42,branch,上级现场审核,rect,5.0,0.6,FCE4EC,C00000,,,
43,branch,拒绝交易,rect,5.0,0.6,FCE4EC,C00000,,,
44,branch,重新签字确认,rect,5.0,0.6,FCE4EC,C00000,,,
