分类,检查项,检查标准,状态,说明,完成日期
迭代准备,交接文档断点已读取,新会话第一步读取交接.md工作断点区,未开始,确认上一迭代完成状态和待办,
迭代准备,上一迭代已收口,上迭代iteration_review完成+台账更新,未开始,确认发布点=Y的迭代已过release_gate,
迭代准备,18_迭代配置.csv存在,台账根目录有迭代配置表,未开始,敏捷模式基础配置,
迭代准备,00_阶段配置.csv存在,阶段裁剪配置已就绪,未开始,确认保留/裁剪阶段,
范围规划,迭代编号已确定,IT-NN 格式，递增编号,未开始,如 IT-01/IT-02,
范围规划,迭代周期已设定,按容量档位设定天数(S=7天/M=10天/L=14天),未开始,基于历史数据校准,
范围规划,吸收容量已评估,S/M/L 三档，匹配团队速率,未开始,参考上迭代实际产出,
范围规划,PBI清单已梳理,按优先级排序(P0/P1-M/P1-S/P2),未开始,业务价值高的优先,
范围规划,技术债已登记,每条技术债有编号/描述/等级/偿还计划,未开始,纳入容量规划,
范围规划,发布点已确定,Y=发布级门禁/N=轻量评审,未开始,里程碑迭代设为Y,
DoR检查,需求就绪,PBI有明确的验收标准,未开始,可测试可验证,
DoR检查,环境可用,开发/测试环境已配置,未开始,20_环境配置.csv已登记,
DoR检查,依赖清晰,外部依赖已识别并有应对方案,未开始,无阻塞性依赖,
DoR检查,优先级明确,P0/P1/P2 分级清晰,未开始,团队达成共识,
角色配置,角色包已确定,需求/开发/测试/总控 按需加载,未开始,阶段裁剪对应角色包,
角色配置,责任人已明确,每个PBI有对应角色负责,未开始,避免无人认领,
台账初始化,迭代配置已更新,18_迭代配置.csv新增一行,未开始,状态=进行中,
台账初始化,范围基准对齐,02_范围基准.csv与迭代范围一致,未开始,无范围蔓延,
台账初始化,风险已扫描,12_风险问题台账.csv无新增高风险,未开始,迭代启动前风险扫描,
启动确认,迭代目标已对齐,团队对迭代目标达成共识,未开始,用户确认或团队同步,
启动确认,DoD已明确,完成定义清晰可衡量,未开始,功能+测试+文档+台账,
