维护批次,技能名称,当前版本,维护类型,优先级,缺失章节,预计工时,状态
批次1,key-points-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次1,toc-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次1,table-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次1,operation-steps-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次1,scene-description-skill,v1.1.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次2,cover-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次2,faq-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次2,business-rules-skill,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录,2小时,待开始
批次2,ppt-framework,v1.0.0,完全重构,高,任务入口/执行状态/验收门禁/失败处理/审计记录,3小时,待开始
批次3,flowchart-skill,v1.2.0,补充章节,中,执行状态/产出与交接/审计记录,1小时,待开始
批次3,document-processing,v1.1.0,补充章节,中,执行状态/验收门禁/失败处理/审计记录,1.5小时,待开始
批次3,style-brief-skill,v1.0.0,补充章节,中,任务入口/执行状态/验收门禁/产出与交接/审计记录,1.5小时,待开始
批次4,SKILL.md,lark-training-ppt-generator v4.1.0,补充章节,中,执行状态/审计记录,1小时,待开始
