类别,条目,说明,负责人,状态
做得好,小工具更名快速落地,24小时内完成主程序/bat/launcher/README/GUI 全链路更名并提交,开发,已完成
做得好,敏捷模式快速启动,当天完成 18_迭代配置.csv 初始化 + 阶段配置适配,总控,已完成
做得好,代走查CSV入库规范,Sprint-5 遗留 2 个代走查 CSV 按规范命名入库,总控,已完成
需改进,迭代启动流程待标准化,敏捷模式首次启用，启动步骤分散在交接文档中，需固化为 checklist,总控,待改进
需改进,迭代容量估算偏保守,IT-01 实际工作量约 1 人日，估算为 3-4 人日(M)，下次可缩小容量档位,总控,待改进
需改进,自动化测试覆盖不足,小工具GUI层无自动化测试，依赖手工冒烟测试,测试,待改进
行动项,固化敏捷启动 checklist,将迭代启动步骤整理为标准 checklist 纳入 role-governance 模板,总控,IT-02
行动项,调整容量估算模型,基于 IT-01 实际数据校准容量档位(S/M/L),总控,IT-02
行动项,补充 GUI 自动化测试方案,调研 Python GUI 自动化测试框架可行性,测试,IT-02
行动项,建立技术债登记机制,在 18_迭代配置.csv 中细化技术债跟踪字段,总控,IT-02
