评审对象,基线版本,检查点,结果,说明,时间
Prompt模板优化,IT-03/defect-fix,基础规则6条,通过,严格按顺序/8-15字/节点类型/编号/格式/单入口单出口,2026-08-11
Prompt模板优化,IT-03/defect-fix,节点粒度4条规则,通过,判断不可合并/步骤谨慎合并/交易入口不可缺/通知打印不可省,2026-08-11
Prompt模板优化,IT-03/defect-fix,分支识别4条规则,通过,每判断必有分支/异常有具体内容/关键词识别/编号规则,2026-08-11
Prompt模板优化,IT-03/defect-fix,质量校验3条规则,通过,步骤对齐/判断分支核对/字数范围,2026-08-11
Prompt模板优化,IT-03/defect-fix,总规则数17条(4分类),通过,基础/粒度/分支/质量 四分类,2026-08-11
质量自检清单,IT-03/defect-fix,完整性检查3项,通过,步骤完整/交易入口/辅助步骤,2026-08-11
质量自检清单,IT-03/defect-fix,判断与分支检查4项,通过,独立判断/两分支/异常内容/编号顺序,2026-08-11
质量自检清单,IT-03/defect-fix,粒度与文字检查3项,通过,8~15字/无合并过度/无拆分过度,2026-08-11
质量自检清单,IT-03/defect-fix,结构检查4项,通过,编号连续/顺序正确/配色一致/单入口,2026-08-11
质量自检清单,IT-03/defect-fix,总检查项15项(4大类),通过,从7项升级为15项,2026-08-11
节点粒度指导,IT-03/defect-fix,8种场景覆盖,通过,独立校验/同动作/交易入口/通知打印/选择执行/审核审批/纯处理/跨渠道,2026-08-11
节点粒度指导,IT-03/defect-fix,4条判断标准,通过,独立异常路径/不同系统设备/不同编号步骤/瞬时连续动作,2026-08-11
节点粒度指导,IT-03/defect-fix,核心原则"宁拆不并",通过,合并易丢失判断和分支,拆分最多节点稍多,2026-08-11
版本更新,IT-03/defect-fix,版本号v1.2.0,通过,技能版本+文档版本同步更新,2026-08-11
版本更新,IT-03/defect-fix,更新日志完整,通过,v1.2.0/v1.1.0/v1.0.0 三个版本记录,2026-08-11
故障排除补充,IT-03/defect-fix,新增2条AI相关FAQ,通过,AI生成节点过少/AI生成分支缺失,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D001合并过度,已修复,判断节点不可合并规则+粒度指导原则,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D002分支遗漏,已修复,分支识别关键词+异常分支必须有具体内容,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D003缺失交易入口,已修复,交易入口不可缺规则+完整性检查,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D004缺失独立判断,已修复,判断节点不可合并规则+独立判断检查,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D005缺失通知步骤,已修复,通知打印不可省规则+辅助步骤检查,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D006分支编号不一致,已修复,分支编号规则+编号顺序检查,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D007精简过度,已修复,字数调整为8~15字+不丢失业务语义要求,2026-08-11
缺陷覆盖验证,IT-03/defect-fix,D008跨渠道跳转,已修复,跨渠道场景独立分支体现+粒度指导,2026-08-11
门禁(阻断缺陷),IT-03/defect-fix,质量门禁,通过,8个缺陷全部有对应修复措施,2026-08-11
