项目编号,项目名称,交付物名称,交付物类型,交付物版本,交付状态,交付日期,责任人,状态
PRJ-002,企业培训PPT生成器,项目章程,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,干系人登记册,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,范围初定义说明书,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,阶段配置单,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,18_迭代配置单,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,可行性评估报告,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,启动就绪检查单,文档,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,01_启动组.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,02_范围基准.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,00_阶段配置.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,18_迭代配置.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,12_风险问题台账.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,25_环境资源清单.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,03_进度基准.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,04_成本基准.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,05_迭代进度.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,19_迭代回顾.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,21_质量基准.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,22_质量门禁.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,23_阶段状态.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,24_变更审计.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,26_交付物清单.csv,台账,1.0,已完成,2026-08-14,段波,已完成
PRJ-002,企业培训PPT生成器,08_需求追溯矩阵.csv,台账,1.0,已完成,2026-08-20,段波,已完成
PRJ-002,企业培训PPT生成器,07_需求评审.csv,台账,1.0,已完成,2026-08-20,段波,已完成
PRJ-002,企业培训PPT生成器,09_上线验收记录.csv,台账,1.0,已完成,2026-08-28,段波,已完成
PRJ-002,企业培训PPT生成器,IT-01_门禁验收记录.csv,台账,1.0,已完成,2026-08-28,段波,已完成
PRJ-002,企业培训PPT生成器,需求收集清单_PRJ-002_v1.csv,文档,1.0,已完成,2026-08-19,段波,已完成
PRJ-002,企业培训PPT生成器,需求分析报告_需求维度分析.csv,文档,1.0,已完成,2026-08-20,段波,已完成
PRJ-002,企业培训PPT生成器,需求规格说明书_SRS.md,文档,1.0,已完成,2026-08-20,段波,已完成
PRJ-002,企业培训PPT生成器,用户故事清单.md,文档,1.0,已完成,2026-08-20,段波,已完成
PRJ-002,企业培训PPT生成器,架构策略分析报告.csv,文档,1.0,已完成,2026-08-21,段波,已完成
PRJ-002,企业培训PPT生成器,技术选型评估矩阵.csv,文档,1.0,已完成,2026-08-21,段波,已完成
PRJ-002,企业培训PPT生成器,开发策略分析报告.csv,文档,1.0,已完成,2026-08-23,段波,已完成
PRJ-002,企业培训PPT生成器,开发任务清单.csv,文档,1.0,已完成,2026-08-23,段波,已完成
PRJ-002,企业培训PPT生成器,测试策略分析报告.csv,文档,1.0,已完成,2026-08-27,段波,已完成
PRJ-002,企业培训PPT生成器,测试计划.csv,文档,1.0,已完成,2026-08-27,段波,已完成
PRJ-002,企业培训PPT生成器,测试用例清单.csv,文档,1.0,已完成,2026-08-27,段波,已完成
PRJ-002,企业培训PPT生成器,测试总结报告.csv,文档,1.0,已完成,2026-08-28,段波,已完成
PRJ-002,企业培训PPT生成器,用户手册.md,文档,1.0,已完成,2026-08-28,段波,已完成
PRJ-002,企业培训PPT生成器,上线验收报告,文档,1.0,已完成,2026-08-28,段波,已完成
PRJ-002,企业培训PPT生成器,项目总结报告.md,文档,1.0,已完成,2026-08-28,段波,已完成
