评审对象,基线版本,检查点,结果,说明,时间
AI语义提取工作流,IT-02,四步工作流(预处理/提炼/校验/输出),通过,文档预处理→AI语义提炼→质量校验→输出CSV,2026-08-11
AI语义提取工作流,IT-02,核心Prompt模板,通过,8条明确要求（节点精炼/类型区分/分支规则/编号/输出格式）,2026-08-11
AI语义提取工作流,IT-02,质量自检清单,通过,7项必查（完整性/分支/异常/文字/编号/配色/结构）,2026-08-11
AI语义提取工作流,IT-02,全参数CSV格式,通过,输出格式对齐 flowchart_full_config.csv 模板,2026-08-11
规则预览优化,IT-02,预设配色适配,通过,4套预设(green/blue/red/yellow)全参数颜色映射,2026-08-11
规则预览优化,IT-02,全参数CSV输出,通过,含config全局配置区+主流程区+分支区,2026-08-11
规则预览优化,IT-02,增强输出统计,通过,文档统计(段落/标题)+节点分类统计(处理/判断/分支),2026-08-11
规则预览优化,IT-02,--stats 参数,通过,新增文档大纲结构预览功能,2026-08-11
规则预览优化,IT-02,--title 参数,通过,支持自定义流程图标题,2026-08-11
GUI集成优化,IT-02,自动加载CSV,通过,规则预览后自动填入CSV节点表路径,2026-08-11
GUI集成优化,IT-02,自动设置标题,通过,从文件名推导标题并自动填入,2026-08-11
迭代启动checklist,IT-02,五大分类完整,通过,迭代准备/范围规划/DoR检查/角色配置/台账初始化/启动确认,2026-08-11
迭代启动checklist,IT-02,22项检查点,通过,每项有标准/状态/说明字段,2026-08-11
技术债台账,IT-02,6条技术债登记,通过,TD-01~TD-06，覆盖质量/过程/工程/文档,2026-08-11
技术债台账,IT-02,字段规范完整,通过,编号/描述/等级/引入迭代/类别/影响/偿还计划/状态,2026-08-11
技术债台账,IT-02,TD-03已偿还标记,通过,敏捷启动流程标准化已在本迭代完成,2026-08-11
门禁(阻断缺陷),IT-02,质量门禁,通过,0阻断缺陷,2026-08-11
