节点序号,现有CSV内容,现有CSV形状,现有CSV分支,AI v2内容,AI v2形状,AI v2分支,差异类型,差异说明
1,客户到达网点取号,rect,,客户到达网点取号,rect,,相同,完全一致
2,Pad身份识别与分流,rect,,Pad身份识别与分流,rect,,相同,完全一致
3,柜员输入交易代码036101进入场景,rect,,联网核查与人脸识别,diamond,41,AI合并,将步骤3+步骤4合并为判断节点丢失交易入口
4,选择证件类型并读取身份证件,diamond,41,选择介质并读取账户信息,diamond,42,AI合并,将步骤4(证件)+步骤6(介质选择)+步骤7(介质校验)合并
5,人脸识别身份核实,diamond,42,介质验证与密码输入,rect,,AI删除,原步骤5(人脸独立判断)被并入步骤3
6,选择介质读取方式,rect,,服务类型选择与签约,rect,,AI删除,原步骤6(介质选择)被并入步骤4
7,读取介质并校验状态,diamond,43,费用收取,rect,,AI删除,原步骤7(介质校验)被并入步骤4
8,介质验证输入密码,rect,,交易确认与电子签名,diamond,43,顺序提前,原步骤11提前到步骤8
9,服务类型选择与签约,rect,,凭证打印与回单服务,rect,,顺序调整,后续步骤整体前移
10,费用收取与短信通知,rect,,客户评价,rect,,AI精简,去掉短信通知业务语义
11,交易确认与电子签名,diamond,44,系统质检与自动归档,rect,,AI删除,原步骤11并入步骤8
12,凭证打印与回单服务,rect,,,,,缺失,被合并到步骤9
13,客户评价,rect,,,,,缺失,被合并到步骤10
14,系统质检与自动归档,rect,,,,,缺失,被合并到步骤10
41,客户信息维护,branch,,,,,缺失,AI未识别客户九要素缺失→信息维护分支
42,上级现场审核,branch,,,,,序号重排,原42→现41
43,拒绝交易,branch,,,,,序号重排,原43→现42
44,重新签字确认,branch,,,,,序号重排,原44→现43
